threshold,valid_accuracy,valid_precision,valid_recall,valid_specificity,valid_f1,valid_gmean,tn,fp,fn,tp
0.4877069612528074,0.6818181818181818,0.240990990990991,0.6604938271604939,0.6850467289719626,0.35313531353135313,0.6726582607851249,733,337,55,107
0.4727261437896321,0.6672077922077922,0.23504273504273504,0.6790123456790124,0.6654205607476635,0.3492063492063492,0.6721821001903537,712,358,52,110
0.49,0.685064935064935,0.2420091324200913,0.654320987654321,0.6897196261682244,0.35333333333333333,0.6717871887725767,738,332,56,106
0.5,0.6939935064935064,0.2458628841607565,0.6419753086419753,0.7018691588785047,0.35555555555555557,0.6712545492563247,751,319,58,104
0.46771503108254114,0.6582792207792207,0.23076923076923078,0.6851851851851852,0.6542056074766355,0.3452566096423017,0.6695162360302139,700,370,51,111
0.47000000000000003,0.661525974025974,0.23157894736842105,0.6790123456790124,0.6588785046728972,0.3453689167974882,0.6688696726384177,705,365,52,110
0.4948733787934221,0.6875,0.24129930394431554,0.6419753086419753,0.694392523364486,0.35075885328836426,0.6676697196261007,743,327,58,104
0.48147256099024494,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,721,349,55,107
0.48000000000000004,0.6704545454545454,0.2336244541484716,0.6604938271604939,0.6719626168224299,0.34516129032258064,0.6662035428409452,719,351,55,107
0.4568562333336215,0.6420454545454546,0.22376237623762377,0.6975308641975309,0.6336448598130842,0.33883058470764615,0.6648209132238124,678,392,49,113
0.46280883907602677,0.648538961038961,0.22515212981744423,0.6851851851851852,0.6429906542056075,0.33893129770992364,0.6637527178657822,688,382,51,111
0.5044646784565726,0.6923701298701299,0.24105011933174225,0.6234567901234568,0.702803738317757,0.3476764199655766,0.6619424165124597,752,318,61,101
0.46,0.6452922077922078,0.22334004024144868,0.6851851851851852,0.6392523364485981,0.33687405159332323,0.661820391442871,684,386,51,111
0.45,0.6363636363636364,0.220703125,0.6975308641975309,0.6271028037383177,0.3353115727002967,0.661380042511326,671,399,49,113
0.4410707979105437,0.625,0.2169811320754717,0.7098765432098766,0.6121495327102804,0.33236994219653176,0.6592045162223292,655,415,47,115
0.4479705284259027,0.6314935064935064,0.21814671814671815,0.6975308641975309,0.6214953271028038,0.3323529411764706,0.6584164127729091,665,405,49,113
0.51,0.6964285714285714,0.24146341463414633,0.6111111111111112,0.7093457943925233,0.34615384615384615,0.6583988886482182,759,311,63,99
0.44,0.6233766233766234,0.2161654135338346,0.7098765432098766,0.6102803738317757,0.3314121037463977,0.6581973276795737,653,417,47,115
0.53,0.7159090909090909,0.25132275132275134,0.5864197530864198,0.7355140186915888,0.35185185185185186,0.6567495331043044,787,283,67,95
0.5268823017220048,0.7126623376623377,0.2486910994764398,0.5864197530864198,0.7317757009345794,0.3492647058823529,0.6550784119910362,783,287,67,95
0.52,0.7053571428571429,0.24427480916030533,0.5925925925925926,0.7224299065420561,0.34594594594594597,0.65429856432991,773,297,66,96
0.43,0.6128246753246753,0.21206581352833637,0.7160493827160493,0.597196261682243,0.32722143864598024,0.6539281417234637,639,431,46,116
0.5179318636016423,0.7045454545454546,0.2436548223350254,0.5925925925925926,0.7214953271028037,0.34532374100719426,0.6538752070779952,772,298,66,96
0.4318398762579218,0.6152597402597403,0.21217712177121772,0.7098765432098766,0.6009345794392523,0.32670454545454547,0.6531380879627351,643,427,47,115
0.54,0.7207792207792207,0.25271739130434784,0.5740740740740741,0.7429906542056075,0.35094339622641507,0.6530939226931871,795,275,69,93
0.41000000000000003,0.5900974025974026,0.20783645655877342,0.7530864197530864,0.5654205607476636,0.3257676902536716,0.6525416046109555,605,465,40,122
0.5377395882139911,0.7191558441558441,0.25135135135135134,0.5740740740740741,0.7411214953271028,0.34962406015037595,0.6522719035849235,793,277,69,93
0.5118632192366162,0.6956168831168831,0.23832923832923833,0.5987654320987654,0.7102803738317757,0.3409490333919156,0.6521436459467007,760,310,65,97
0.40725175373189,0.5868506493506493,0.20642978003384094,0.7530864197530864,0.5616822429906542,0.3240371845949535,0.6503808648881937,601,469,40,122
0.4121517424519876,0.5933441558441559,0.20725388601036268,0.7407407407407407,0.5710280373831775,0.32388663967611336,0.6503719946268799,611,459,42,120
0.42700482859374084,0.6071428571428571,0.20938628158844766,0.7160493827160493,0.5906542056074766,0.3240223463687151,0.6503365123717659,632,438,46,116
0.55,0.7248376623376623,0.25348189415041783,0.5617283950617284,0.7495327102803738,0.3493282149712092,0.6488711785802032,802,268,71,91
0.42000000000000004,0.599025974025974,0.2067137809187279,0.7222222222222222,0.5803738317757009,0.32142857142857145,0.6474248052899061,621,449,45,117
0.4,0.573051948051948,0.20358306188925082,0.7716049382716049,0.5429906542056074,0.32216494845360827,0.6472822183718444,581,489,37,125
0.4192535598021027,0.5982142857142857,0.20634920634920634,0.7222222222222222,0.5794392523364486,0.32098765432098764,0.6469033192566048,620,450,45,117
0.4039250961780553,0.577922077922078,0.20364238410596028,0.7592592592592593,0.5504672897196262,0.32114882506527415,0.6464885046456553,589,481,39,123
0.39964341107982515,0.5714285714285714,0.20292207792207792,0.7716049382716049,0.5411214953271029,0.3213367609254499,0.6461671749627241,579,491,37,125
0.5512362168593871,0.7248376623376623,0.25210084033613445,0.5555555555555556,0.7504672897196262,0.3468208092485549,0.6456982825333044,803,267,72,90
0.3922068660636949,0.5633116883116883,0.20063694267515925,0.7777777777777778,0.5308411214953271,0.3189873417721519,0.6425546107761573,568,502,36,126
0.39,0.560064935064935,0.20031545741324921,0.7839506172839507,0.5261682242990654,0.31909547738693467,0.6422537693423469,563,507,35,127
0.38643259295071763,0.5560064935064936,0.1996879875195008,0.7901234567901234,0.5205607476635514,0.31880448318804483,0.6413324078924879,557,513,34,128
0.56,0.7256493506493507,0.25,0.5432098765432098,0.7532710280373832,0.3424124513618677,0.6396751223423994,806,264,74,88
0.3814053433425184,0.5478896103896104,0.19754977029096477,0.7962962962962963,0.5102803738317757,0.3165644171779141,0.6374436224129413,546,524,33,129
0.38,0.5454545454545454,0.19664634146341464,0.7962962962962963,0.5074766355140187,0.3154034229828851,0.6356899915184433,543,527,33,129
0.5700000000000001,0.7329545454545454,0.2522255192878338,0.5246913580246914,0.7644859813084112,0.3406813627254509,0.6333397095742135,818,252,77,85
0.5800000000000001,0.7426948051948052,0.2585669781931464,0.5123456790123457,0.7775700934579439,0.34368530020703936,0.6311772156157124,832,238,79,83
0.5818370997682014,0.7426948051948052,0.2585669781931464,0.5123456790123457,0.7775700934579439,0.34368530020703936,0.6311772156157124,832,238,79,83
0.571266255504266,0.734577922077922,0.25225225225225223,0.5185185185185185,0.7672897196261682,0.3393939393939394,0.6307566319073071,821,249,78,84
0.3752341492929257,0.5381493506493507,0.19398496240601504,0.7962962962962963,0.49906542056074765,0.31197097944377267,0.6303998302681219,534,536,33,129
0.5640605324532028,0.726461038961039,0.2463768115942029,0.5246913580246914,0.7570093457943925,0.33530571992110453,0.6302350844583654,810,260,77,85
0.3704890922385192,0.5308441558441559,0.19321533923303835,0.808641975308642,0.48878504672897194,0.3119047619047619,0.6286907870235119,523,547,31,131
