NASDAQ_return(%),Brent Crude Oil_return(%),GJR_VaR_5_t1,Gold Spot_return(%),KOSPI 200 Volume,KOSPI 200_DMI14,KOSPI 200_OG,Signal2_Buy,Signal2_Sell,VKOSPI_Close,Risk_Label
0.5936115660504153,0.5453229459038507,0.6437816055522115,0.4884883519283676,0.0008169623458867772,0.7822132165463476,0.7280361230924428,0,0,0.6335839598997495,0
0.2595900033613411,0.5453229459038507,0.6625232414111295,0.6962351826768072,0.0005515078824040613,0.7584011683414116,0.655850649042966,0,0,0.6501253132832081,0
0.7589182151199401,0.5453229459038507,0.679773687993202,0.5351903798536092,0.0006327377255488455,0.721067531223091,0.3254301091383271,0,0,0.656390977443609,0
0.5920415715817344,0.5453229459038507,0.696228065393744,0.6303472727756683,0.0009716488414447874,0.7683482362660853,0.6622423398413221,0,0,0.6215538847117794,0
0.6108324344227483,0.5453229459038507,0.7125144939238948,0.6577841653857004,0.0009172365063238792,0.7913779008404946,0.6715658797585808,0,0,0.5809523809523809,1
0.785167061442515,0.5453229459038507,0.705041684361631,0.6160667596607927,0.0007617726916927133,0.755532515380441,0.5850085595784839,0,0,0.5759398496240602,1
0.5091595468935552,0.5453229459038507,0.698175020702837,0.5278564856153191,0.000607863515207859,0.7139263207631871,0.5857973213681714,0,0,0.6333333333333333,1
0.5536926232170525,0.5453229459038507,0.5849229748109067,0.47350129241948946,0.0007065830374986494,0.624834336411736,0.611342399076173,0,0,0.7015037593984963,0
0.7638368825986366,0.5453229459038507,0.6040633238506389,0.6122899776137057,0.00048116050628345874,0.623405944133159,0.6626712377083268,0,0,0.6546365914786967,0
0.6062286429146994,0.5453229459038507,0.6237896004141401,0.5084774891948186,0.0009047994011533859,0.719885161569421,0.7049830770937447,0,0,0.6105263157894738,0
0.7967949611945861,0.7600562405994411,0.6429317023977055,0.6374324597287802,0.0011931847772941988,0.7586935212659853,0.7197188804989043,0,0,0.6368421052631579,0
0.5602560731118352,0.6691131067698498,0.6585896269839167,0.6239162102178195,0.0011294446132954208,0.7769679080321179,0.5783840961725211,0,0,0.6288220551378445,0
0.3804213632683691,0.5701290160013099,0.6766622895294051,0.5956580338285742,0.0011317765705148883,0.7825963024067166,0.7476676429786528,0,0,0.6100250626566415,0
0.6878681357189945,0.6725404838625613,0.6938779791619574,0.5633957581840577,0.0008519417041787894,0.7744801974790773,0.5636565585076717,0,0,0.5859649122807018,0
