stage,C,l1_ratio,valid_accuracy,valid_precision,valid_recall,valid_specificity,valid_f1,valid_gmean,valid_log_loss,valid_roc_auc,valid_pr_auc,tn,fp,fn,tp
refine,24.173154808041037,0.9,0.6939935064935064,0.2458628841607565,0.6419753086419753,0.7018691588785047,0.35555555555555557,0.6712545492563247,0.6699485363383313,0.7172377985462097,0.33600174067229793,751,319,58,104
refine,27.648187540101073,0.9,0.6939935064935064,0.2458628841607565,0.6419753086419753,0.7018691588785047,0.35555555555555557,0.6712545492563247,0.6700149219877575,0.7172493365639783,0.3360231374092262,751,319,58,104
refine,36.16873614408159,0.567,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6698300494136817,0.7172954886350525,0.3359842302120533,750,320,58,104
refine,36.16873614408159,0.583,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6698434614027033,0.7173012576439367,0.33598093214599917,750,320,58,104
refine,41.36820402388506,0.5,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6698573133067308,0.7172897196261683,0.33595506900924516,750,320,58,104
refine,36.16873614408159,0.6,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.669858053683266,0.717283950617284,0.33596890905047694,750,320,58,104
refine,41.36820402388506,0.517,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6698699932285035,0.717283950617284,0.3359497465762546,750,320,58,104
coarse,31.622776601683793,0.7,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6698705621329847,0.7172724125995154,0.3359709307802036,750,320,58,104
refine,31.622776601683793,0.7,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6698705621329847,0.7172724125995154,0.3359709307802036,750,320,58,104
refine,36.16873614408159,0.617,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6698718953788175,0.7172781816083997,0.33597547087792407,750,320,58,104
refine,41.36820402388506,0.533,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6698814489629284,0.717283950617284,0.33595658039231,750,320,58,104
refine,36.16873614408159,0.633,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6698854915969139,0.7172724125995155,0.3359727666729609,750,320,58,104
refine,31.622776601683793,0.717,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6698866861685623,0.7172724125995154,0.3359719258741172,750,320,58,104
refine,41.36820402388506,0.55,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6698941693674836,0.7172666435906312,0.3359491840856679,750,320,58,104
refine,27.648187540101073,0.8,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6698987613374453,0.717243567555094,0.33592196231133525,750,320,58,104
refine,36.16873614408159,0.65,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6698999502657385,0.7172781816083997,0.33597708840282536,750,320,58,104
refine,31.622776601683793,0.733,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699018678674112,0.7172724125995155,0.33597094945989064,750,320,58,104
coarse,56.23413251903491,0.3,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.66990296650737,0.7172954886350525,0.3358759802518755,750,320,58,104
refine,41.36820402388506,0.567,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699066802709995,0.7172608745817468,0.3359469271406307,750,320,58,104
refine,36.16873614408159,0.667,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699143698602905,0.717283950617284,0.33597857221961275,750,320,58,104
refine,27.648187540101073,0.817,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699175443954531,0.7172377985462097,0.3359498239729919,750,320,58,104
refine,41.36820402388506,0.583,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699186576739099,0.7172608745817468,0.3359456619930712,750,320,58,104
coarse,31.622776601683793,0.75,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699188845654774,0.7172608745817468,0.3359326579628611,750,320,58,104
refine,31.622776601683793,0.75,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699188845654774,0.7172608745817468,0.3359326579628611,750,320,58,104
refine,36.16873614408159,0.683,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699280806271167,0.7172781816083997,0.3359260413200386,750,320,58,104
coarse,56.23413251903491,0.35,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699303729942895,0.7172724125995155,0.335851563457116,750,320,58,104
refine,47.31512589614804,0.5,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699307542847791,0.7172608745817469,0.33592992497178,750,320,58,104
refine,41.36820402388506,0.6,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699313704236113,0.7172666435906312,0.33595555785000336,750,320,58,104
refine,31.622776601683793,0.767,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699355225577808,0.717243567555094,0.33592530955140326,750,320,58,104
refine,27.648187540101073,0.833,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699358118457207,0.7172377985462097,0.33595234321518397,750,320,58,104
refine,47.31512589614804,0.517,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699419362926415,0.7172551055728627,0.3359273669794001,750,320,58,104
refine,36.16873614408159,0.7,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699427167902523,0.7172666435906311,0.33591701102024024,750,320,58,104
refine,41.36820402388506,0.617,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699440695265391,0.7172435675550941,0.33594503946512827,750,320,58,104
refine,31.622776601683793,0.783,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699515148910303,0.7172147225106726,0.3359101090815245,750,320,58,104
refine,47.31512589614804,0.533,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699523864231078,0.7172493365639784,0.3359328462864854,750,320,58,104
refine,27.648187540101073,0.85,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699554461617562,0.7172377985462097,0.3359513668420469,750,320,58,104
refine,41.36820402388506,0.633,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.669956001263344,0.7172377985462098,0.33589415151421365,750,320,58,104
refine,36.16873614408159,0.717,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699573996820337,0.7172551055728625,0.3359222182403506,750,320,58,104
coarse,56.23413251903491,0.4,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.669957816445858,0.7172551055728625,0.3359250044020753,750,320,58,104
refine,47.31512589614804,0.55,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699637484072968,0.7172320295373256,0.33592491597895097,750,320,58,104
coarse,31.622776601683793,0.8,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699685918791515,0.7172204915195569,0.33591495711984093,750,320,58,104
refine,31.622776601683793,0.8,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699685918791515,0.7172204915195569,0.33591495711984093,750,320,58,104
refine,41.36820402388506,0.65,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699691720670837,0.7172262605284412,0.33589181096698456,750,320,58,104
refine,36.16873614408159,0.733,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699713704694699,0.7172493365639783,0.33592195345374226,750,320,58,104
refine,47.31512589614804,0.567,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699746806189372,0.7172262605284413,0.3358700645537445,750,320,58,104
refine,27.648187540101073,0.867,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699751532237831,0.7172262605284412,0.33594786126769033,750,320,58,104
refine,41.36820402388506,0.667,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699821208883261,0.7172320295373256,0.3359087798545163,750,320,58,104
refine,31.622776601683793,0.817,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699856768096581,0.7172204915195569,0.33591367848861087,750,320,58,104
coarse,56.23413251903491,0.45,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699857178638846,0.7172204915195569,0.3359086617537579,750,320,58,104
refine,47.31512589614804,0.583,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699857859118264,0.7171974154840198,0.3358622901604861,750,320,58,104
refine,36.16873614408159,0.75,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699863692549642,0.7172377985462097,0.33591742667079355,750,320,58,104
refine,27.648187540101073,0.883,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699940423114233,0.7172320295373255,0.33601319658355705,750,320,58,104
refine,41.36820402388506,0.683,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699943077957377,0.7172262605284412,0.3359096306006839,750,320,58,104
refine,54.11695265464636,0.5,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699965705220065,0.717203184492904,0.33584615355198305,750,320,58,104
refine,47.31512589614804,0.6,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6699970617673232,0.7171974154840198,0.3358622901604861,750,320,58,104
refine,36.16873614408159,0.767,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700016801986645,0.7172147225106726,0.33590258626763725,750,320,58,104
refine,31.622776601683793,0.833,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700022042875952,0.7172147225106726,0.3359010252516612,750,320,58,104
refine,54.11695265464636,0.517,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700064234942663,0.7171858774662513,0.3358406664409818,750,320,58,104
refine,41.36820402388506,0.7,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700075512168181,0.7172262605284412,0.33591072598542226,750,320,58,104
refine,47.31512589614804,0.617,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700085703685478,0.7172031844929041,0.3358643641874597,750,320,58,104
coarse,56.23413251903491,0.5,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700139670258815,0.7171916464751354,0.33584176778160657,750,320,58,104
refine,36.16873614408159,0.783,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700159108291722,0.7172089535017885,0.33589619368980933,750,320,58,104
refine,54.11695265464636,0.533,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700159905712834,0.7172089535017884,0.3358693159345926,750,320,58,104
refine,47.31512589614804,0.633,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700194256701558,0.7172089535017884,0.3358831366868523,750,320,58,104
coarse,31.622776601683793,0.85,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700199304303904,0.7172147225106728,0.3358983845588551,750,320,58,104
refine,31.622776601683793,0.85,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700199304303904,0.7172147225106728,0.3358983845588551,750,320,58,104
refine,41.36820402388506,0.717,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700210837334534,0.7172089535017883,0.3358908616359072,750,320,58,104
refine,54.11695265464636,0.55,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700259786484032,0.7172147225106728,0.3358713899615662,750,320,58,104
refine,47.31512589614804,0.65,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.67003096821059,0.7171974154840198,0.3358763296869889,750,320,58,104
refine,36.16873614408159,0.8,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700313056643016,0.7172031844929041,0.3358941053737999,750,320,58,104
refine,41.36820402388506,0.733,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.670033433893219,0.7172031844929041,0.3358777167532675,750,320,58,104
refine,54.11695265464636,0.567,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700360512430217,0.7172031844929041,0.3358638162834467,750,320,58,104
refine,31.622776601683793,0.867,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700383739457118,0.7172147225106728,0.33594774051571796,750,320,58,104
coarse,56.23413251903491,0.55,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700426844366226,0.7172031844929041,0.3358638162834467,750,320,58,104
refine,47.31512589614804,0.667,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700427304456563,0.7172031844929041,0.3358792606846498,750,320,58,104
refine,54.11695265464636,0.583,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700457113852766,0.7171974154840198,0.33587608187871937,750,320,58,104
refine,41.36820402388506,0.75,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700472142851835,0.717180108457367,0.3358688462483361,750,320,58,104
refine,36.16873614408159,0.817,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.670047352562136,0.7171974154840197,0.33589184367067454,750,320,58,104
coarse,100.0,0.0,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700501931764529,0.7172320295373255,0.3357948882163389,750,320,58,104
refine,47.31512589614804,0.683,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700539204768124,0.7172089535017884,0.3358832276458137,750,320,58,104
refine,61.89658188912605,0.5,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.670055381022294,0.7171974154840199,0.3358465410169111,750,320,58,104
refine,54.11695265464636,0.6,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700563168364124,0.7171974154840198,0.33587608187871937,750,320,58,104
refine,41.36820402388506,0.767,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700610311482238,0.7171858774662513,0.3358729214400599,750,320,58,104
refine,36.16873614408159,0.833,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.670062549537048,0.7171974154840199,0.3359396808035329,750,320,58,104
refine,61.89658188912605,0.517,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700642746208824,0.7172089535017885,0.3358818008013095,750,320,58,104
refine,47.31512589614804,0.7,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700661023141138,0.7172031844929041,0.33587557668668033,750,320,58,104
coarse,100.0,0.05,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700663820866426,0.7172204915195569,0.33579101905841063,750,320,58,104
refine,54.11695265464636,0.617,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.670066477418102,0.7171974154840198,0.33587608187871937,750,320,58,104
coarse,56.23413251903491,0.6,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700718586876862,0.7171974154840198,0.33587608187871937,750,320,58,104
refine,61.89658188912605,0.533,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700728364468752,0.7172031844929042,0.33587951499492746,750,320,58,104
refine,41.36820402388506,0.783,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700742751727532,0.7171916464751356,0.3358746936118226,750,320,58,104
coarse,31.622776601683793,0.9,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700757707997844,0.7171974154840199,0.3359544319632076,750,320,58,104
refine,31.622776601683793,0.9,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700757707997844,0.7171974154840199,0.3359544319632076,750,320,58,104
refine,54.11695265464636,0.633,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.670076393338969,0.7172031844929042,0.3358799935748333,750,320,58,104
refine,47.31512589614804,0.717,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700781154891926,0.7172031844929041,0.3358741530181879,750,320,58,104
refine,61.89658188912605,0.55,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700820225559134,0.7172031844929042,0.33587951499492746,750,320,58,104
coarse,100.0,0.1,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700826414778348,0.717220491519557,0.33579006912117354,750,320,58,104
refine,54.11695265464636,0.65,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700870043518683,0.7172031844929042,0.3358799935748333,750,320,58,104
refine,47.31512589614804,0.733,0.6931818181818182,0.24528301886792453,0.6419753086419753,0.7009345794392523,0.35494880546075086,0.6708074932298738,0.6700900067361272,0.7171916464751356,0.3358698012618866,750,320,58,104
