threshold,valid_accuracy,valid_precision,valid_recall,valid_specificity,valid_f1,valid_gmean,tn,fp,fn,tp
0.3307085161701321,0.6266233766233766,0.21235521235521235,0.6790123456790124,0.6186915887850467,0.3235294117647059,0.6481506205758114,662,408,52,110
0.3368754997518694,0.6339285714285714,0.21386138613861386,0.6666666666666666,0.6289719626168224,0.3238380809595202,0.6475450885803615,673,397,54,108
0.33,0.6233766233766234,0.210727969348659,0.6790123456790124,0.6149532710280374,0.3216374269005848,0.6461894946869139,658,412,52,110
0.35299800267673515,0.6542207792207793,0.21794871794871795,0.6296296296296297,0.6579439252336449,0.3238095238095238,0.6436310977275139,704,366,60,102
0.2979233793369464,0.5762987012987013,0.20198675496688742,0.7530864197530864,0.5495327102803739,0.3185378590078329,0.6433083407839952,588,482,40,122
0.2890096015947675,0.5698051948051948,0.2012987012987013,0.7654320987654321,0.5401869158878505,0.31876606683804626,0.6430213097197194,578,492,38,124
0.32544184691352246,0.6168831168831169,0.20754716981132076,0.6790123456790124,0.6074766355140186,0.3179190751445087,0.6422492781043574,650,420,52,110
0.32,0.6047077922077922,0.20508166969147004,0.6975308641975309,0.5906542056074766,0.3169705469845722,0.64187190192381,632,438,49,113
0.29000000000000004,0.5698051948051948,0.2003257328990228,0.7592592592592593,0.5411214953271029,0.3170103092783505,0.6409769931216868,579,491,39,123
0.37,0.6737012987012987,0.22350230414746544,0.5987654320987654,0.6850467289719626,0.32550335570469796,0.6404547608385334,733,337,65,97
0.35000000000000003,0.648538961038961,0.21473684210526317,0.6296296296296297,0.6514018691588785,0.3202511773940345,0.6404232331970423,697,373,60,102
0.31908139020013215,0.6022727272727273,0.20397111913357402,0.6975308641975309,0.5878504672897197,0.31564245810055863,0.6403466596051864,629,441,49,113
0.36359160978470917,0.6672077922077922,0.22072072072072071,0.6049382716049383,0.6766355140186916,0.3234323432343234,0.639783337042304,724,346,64,98
0.32205749121042404,0.6087662337662337,0.2047970479704797,0.6851851851851852,0.597196261682243,0.3153409090909091,0.6396796316537271,639,431,51,111
0.3419605038155888,0.6371753246753247,0.21095334685598377,0.6419753086419753,0.6364485981308411,0.31755725190839695,0.6392059802753719,681,389,58,104
0.3,0.575487012987013,0.19966722129783693,0.7407407407407407,0.5504672897196262,0.3145478374836173,0.6385558299322495,589,481,42,120
0.3706815792340601,0.674512987012987,0.22273781902552203,0.5925925925925926,0.6869158878504673,0.32377740303541314,0.6380135318896857,735,335,66,96
0.3472885460093753,0.6436688311688312,0.21205821205821207,0.6296296296296297,0.6457943925233645,0.31726283048211507,0.6376607908452406,691,379,60,102
