stage,C,l1_ratio,valid_accuracy,valid_precision,valid_recall,valid_specificity,valid_f1,valid_gmean,valid_log_loss,valid_roc_auc,valid_pr_auc,tn,fp,fn,tp
refine,11.437558630495383,0.05,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5151863552942838,0.7079439252336447,0.3413631797657945,890,180,87,75
refine,10.0,0.188,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5151898562541666,0.7080016153224876,0.34132657670291805,890,180,87,75
refine,11.437558630495383,0.063,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5152127441255089,0.7079323872158761,0.341360684066331,890,180,87,75
refine,11.437558630495383,0.075,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5152373283486384,0.7079439252336449,0.34134600481553656,890,180,87,75
coarse,5.623413251903491,0.7,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5156040486728783,0.7081227645090573,0.3414289319559034,890,180,87,75
coarse,5.623413251903491,0.75,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.515819074692097,0.7080881504557517,0.3414323819502061,890,180,87,75
coarse,5.623413251903491,0.8,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5160383322737315,0.7080419983846776,0.34170032224037705,890,180,87,75
refine,38.31186849557287,0.0,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168208499475141,0.7073439483096804,0.34110124130159436,890,180,87,75
refine,33.49654391578276,0.15,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168257344448555,0.7073497173185647,0.3411119459550296,890,180,87,75
refine,38.31186849557287,0.013,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168299130721553,0.7073497173185648,0.34110265655754657,890,180,87,75
refine,33.49654391578276,0.163,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168359841417911,0.7073439483096805,0.34110914110865576,890,180,87,75
refine,38.31186849557287,0.025,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168384490090465,0.7073612553363333,0.34110707015373465,890,180,87,75
refine,33.49654391578276,0.175,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168456364899362,0.7073439483096805,0.34110955811628807,890,180,87,75
refine,38.31186849557287,0.038,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168476002548308,0.7073554863274489,0.3411079438834087,890,180,87,75
refine,29.286445646252357,0.3,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168484276531534,0.7073843313718704,0.3409566261041329,890,180,87,75
refine,33.49654391578276,0.188,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168562024877142,0.707378562362986,0.34112770791204816,890,180,87,75
refine,38.31186849557287,0.05,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168562088378631,0.7073554863274489,0.3410705205055926,890,180,87,75
coarse,31.622776601683793,0.25,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168633701647852,0.7073670243452176,0.3411221984390558,890,180,87,75
refine,38.31186849557287,0.063,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.516865297690367,0.7073266412830276,0.34106081169018,890,180,87,75
refine,33.49654391578276,0.2,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.516865816388214,0.7073612553363332,0.3411177357910044,890,180,87,75
refine,38.31186849557287,0.075,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168737685808417,0.7073093342563748,0.34104780658216194,890,180,87,75
refine,33.49654391578276,0.213,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168764405487185,0.7073497173185647,0.34111334909296914,890,180,87,75
refine,38.31186849557287,0.088,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168829534102234,0.7073035652474904,0.34103714377926075,890,180,87,75
refine,33.49654391578276,0.225,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168861347740037,0.7073554863274489,0.34111519270371254,890,180,87,75
refine,38.31186849557287,0.1,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168914306933089,0.7073208722741433,0.34109337690544894,890,180,87,75
refine,33.49654391578276,0.238,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5168966473368363,0.7073554863274489,0.3411169162829199,890,180,87,75
refine,38.31186849557287,0.113,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.516900366921115,0.7073208722741433,0.34112825306650923,890,180,87,75
coarse,31.622776601683793,0.3,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5169062308764556,0.7073901003807546,0.3411697465997664,890,180,87,75
