stage,C,l1_ratio,best_cutoff,valid_accuracy,valid_precision,valid_recall,valid_specificity,valid_f1,valid_gmean,valid_log_loss,valid_roc_auc,valid_pr_auc,tn,fp,fn,tp
refine,0.1778279410038923,0.767,0.3698599557749376,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,0.50857662125249,0.7167589708088151,0.3346204942269806,721.0,349.0,55.0,107.0
refine,0.11885022274370184,0.817,0.38,0.6907467532467533,0.24235294117647058,0.6358024691358025,0.6990654205607477,0.35093696763202725,0.6666839734686755,0.5089617962134523,0.7122649128879659,0.3353733946121825,748.0,322.0,59.0,103.0
refine,0.10391223038351693,0.517,0.39803304107320997,0.7175324675324676,0.25654450261780104,0.6049382716049383,0.7345794392523365,0.3602941176470588,0.6666147435647019,0.5078455668449228,0.7190146532825661,0.32966914517318474,786.0,284.0,64.0,98.0
refine,0.10391223038351693,0.5,0.39710368928683104,0.7175324675324676,0.25654450261780104,0.6049382716049383,0.7345794392523365,0.3602941176470588,0.6666147435647019,0.5078823478157066,0.7193434867889696,0.32987128092762386,786.0,284.0,64.0,98.0
coarse,0.1,0.5,0.3981064278057629,0.7175324675324676,0.25654450261780104,0.6049382716049383,0.7345794392523365,0.3602941176470588,0.6666147435647019,0.5081698099560238,0.7192569516557055,0.3299682838634723,786.0,284.0,64.0,98.0
coarse,0.1,0.3,0.39673681464226157,0.7175324675324676,0.25654450261780104,0.6049382716049383,0.7345794392523365,0.3602941176470588,0.6666147435647019,0.5088886095532745,0.7213337948540441,0.32595765686140493,786.0,284.0,64.0,98.0
coarse,0.1,0.25,0.3961748632784826,0.7175324675324676,0.25654450261780104,0.6049382716049383,0.7345794392523365,0.3602941176470588,0.6666147435647019,0.5090633104614432,0.7223664474443291,0.32585999677795635,786.0,284.0,64.0,98.0
coarse,0.1,0.4,0.4,0.7232142857142857,0.26005361930294907,0.5987654320987654,0.7420560747663552,0.36261682242990656,0.6665714712234468,0.508486373973825,0.7201569170416523,0.327750955465063,794.0,276.0,65.0,97.0
refine,0.07943282347242817,0.55,0.4,0.7288961038961039,0.26373626373626374,0.5925925925925926,0.7495327102803738,0.3650190114068441,0.6664589499871686,0.5102452456049098,0.7166205145955925,0.32899557363016396,802.0,268.0,66.0,96.0
refine,0.10391223038351693,0.55,0.4,0.7224025974025974,0.25935828877005346,0.5987654320987654,0.7411214953271028,0.3619402985074627,0.6661515836408527,0.5077911898372307,0.7185531325718242,0.33042193895792576,793.0,277.0,65.0,97.0
refine,0.10391223038351693,0.533,0.4,0.7224025974025974,0.25935828877005346,0.5987654320987654,0.7411214953271028,0.3619402985074627,0.6661515836408527,0.5078161562489336,0.7188646590515749,0.3302285841797559,793.0,277.0,65.0,97.0
refine,0.07943282347242817,0.567,0.4,0.7280844155844156,0.26301369863013696,0.5925925925925926,0.7485981308411215,0.36432637571157495,0.6660433222885047,0.5101939750603374,0.7161763009115034,0.3291359953965797,801.0,269.0,66.0,96.0
refine,0.07943282347242817,0.533,0.4,0.7280844155844156,0.26301369863013696,0.5925925925925926,0.7485981308411215,0.36432637571157495,0.6660433222885047,0.5102980429288532,0.7167301257643937,0.328594126740662,801.0,269.0,66.0,96.0
refine,0.11885022274370184,0.667,0.37,0.6655844155844156,0.2317596566523605,0.6666666666666666,0.6654205607476635,0.34394904458598724,0.6660433222885047,0.5072449743083789,0.7175320179993078,0.3355845994797451,712.0,358.0,54.0,108.0
refine,0.11885022274370184,0.683,0.37,0.6655844155844156,0.2317596566523605,0.6666666666666666,0.6654205607476635,0.34394904458598724,0.6660433222885047,0.5073265358741208,0.7172262605284412,0.335723861672156,712.0,358.0,54.0,108.0
coarse,0.1778279410038923,1.0,0.3415031644909504,0.6282467532467533,0.22075471698113208,0.7222222222222222,0.6140186915887851,0.33815028901734107,0.6659263802592849,0.5171008569769926,0.7109495788623514,0.33776134883291786,657.0,413.0,45.0,117.0
refine,0.11885022274370184,0.867,0.38,0.6891233766233766,0.24121779859484777,0.6358024691358025,0.697196261682243,0.34974533106960953,0.6657920881550194,0.5100829648558047,0.7102342217607016,0.3360511159389652,746.0,324.0,59.0,103.0
refine,0.11885022274370184,0.883,0.38,0.6891233766233766,0.24121779859484777,0.6358024691358025,0.697196261682243,0.34974533106960953,0.6657920881550194,0.5105041817200145,0.7099342332987192,0.33717700947080803,746.0,324.0,59.0,103.0
coarse,0.1778279410038923,0.6,0.38292307909258283,0.6939935064935064,0.24343675417661098,0.6296296296296297,0.7037383177570093,0.35111876075731496,0.6656534356296258,0.5061710910996314,0.719205030575747,0.33382129963667084,753.0,317.0,60.0,102.0
refine,0.1778279410038923,0.6,0.38292307909258283,0.6939935064935064,0.24343675417661098,0.6296296296296297,0.7037383177570093,0.35111876075731496,0.6656534356296258,0.5061710910996314,0.719205030575747,0.33382129963667084,753.0,317.0,60.0,102.0
refine,0.1778279410038923,0.617,0.38350351244333764,0.6939935064935064,0.24343675417661098,0.6296296296296297,0.7037383177570093,0.35111876075731496,0.6656534356296258,0.5063879027184829,0.7190434983269873,0.3336616257931656,753.0,317.0,60.0,102.0
refine,0.1778279410038923,0.633,0.3837641578662342,0.6939935064935064,0.24343675417661098,0.6296296296296297,0.7037383177570093,0.35111876075731496,0.6656534356296258,0.5065433630677354,0.7189627322026075,0.33476135830576176,753.0,317.0,60.0,102.0
coarse,0.1778279410038923,0.65,0.38360328026828433,0.6939935064935064,0.24343675417661098,0.6296296296296297,0.7037383177570093,0.35111876075731496,0.6656534356296258,0.5067260753045262,0.7187838929271951,0.3341293263447021,753.0,317.0,60.0,102.0
refine,0.1778279410038923,0.65,0.38360328026828433,0.6939935064935064,0.24343675417661098,0.6296296296296297,0.7037383177570093,0.35111876075731496,0.6656534356296258,0.5067260753045262,0.7187838929271951,0.3341293263447021,753.0,317.0,60.0,102.0
refine,0.1778279410038923,0.667,0.3829662809644114,0.6939935064935064,0.24343675417661098,0.6296296296296297,0.7037383177570093,0.35111876075731496,0.6656534356296258,0.5069285608546961,0.7185589015807085,0.334132468677783,753.0,317.0,60.0,102.0
refine,0.1778279410038923,0.683,0.38271937422179314,0.6939935064935064,0.24343675417661098,0.6296296296296297,0.7037383177570093,0.35111876075731496,0.6656534356296258,0.5071389512221176,0.7183396792431059,0.33428867124767647,753.0,317.0,60.0,102.0
refine,0.10391223038351693,0.8,0.38165749219757594,0.6939935064935064,0.24343675417661098,0.6296296296296297,0.7037383177570093,0.35111876075731496,0.6656534356296258,0.5089723335211496,0.7109553478712357,0.33446897018333466,753.0,317.0,60.0,102.0
coarse,0.1,0.8,0.38239097958525203,0.6939935064935064,0.24343675417661098,0.6296296296296297,0.7037383177570093,0.35111876075731496,0.6656534356296258,0.5091315323786223,0.7103322949117342,0.33454230963246684,753.0,317.0,60.0,102.0
coarse,0.05623413251903491,0.25,0.39,0.7045454545454546,0.24875621890547264,0.6172839506172839,0.7177570093457943,0.3546099290780142,0.6656274350657572,0.5157013035292759,0.7211261105342102,0.3235214407741254,768.0,302.0,62.0,100.0
refine,0.10391223038351693,0.6,0.40503472649128186,0.7329545454545454,0.2661064425770308,0.5864197530864198,0.7551401869158878,0.36608863198458574,0.6654540720116211,0.507763486303513,0.7176070151148033,0.33185669129056267,808.0,262.0,67.0,95.0
coarse,0.1,0.6,0.4042465922807988,0.7329545454545454,0.2661064425770308,0.5864197530864198,0.7551401869158878,0.36608863198458574,0.6654540720116211,0.5080327054353638,0.7174281758393908,0.33193282648376604,808.0,262.0,67.0,95.0
refine,0.09085175756516868,0.583,0.4040456106964203,0.7329545454545454,0.2661064425770308,0.5864197530864198,0.7551401869158878,0.36608863198458574,0.6654540720116211,0.5088289974556494,0.7171281873774086,0.33126081719181727,808.0,262.0,67.0,95.0
refine,0.07943282347242817,0.5,0.40152112572920495,0.7329545454545454,0.2661064425770308,0.5864197530864198,0.7551401869158878,0.36608863198458574,0.6654540720116211,0.5104094378216075,0.7175666320526133,0.3285893960956468,808.0,262.0,67.0,95.0
refine,0.06944910713781212,0.517,0.40229403771358985,0.7329545454545454,0.2661064425770308,0.5864197530864198,0.7551401869158878,0.36608863198458574,0.6654540720116211,0.5119994700063244,0.7160493827160495,0.3276297252471004,808.0,262.0,67.0,95.0
refine,0.06944910713781212,0.5,0.4014299821218098,0.7329545454545454,0.2661064425770308,0.5864197530864198,0.7551401869158878,0.36608863198458574,0.6654540720116211,0.5120556126835301,0.7163493711780317,0.3275700876696903,808.0,262.0,67.0,95.0
refine,0.15547718420411735,0.517,0.37703652663616827,0.6785714285714286,0.23648648648648649,0.6481481481481481,0.6831775700934579,0.3465346534653465,0.6654323984541378,0.5061018344927388,0.7197992384908273,0.33151781217838516,731.0,339.0,57.0,105.0
refine,0.15547718420411735,0.55,0.37712232856513234,0.6785714285714286,0.23648648648648649,0.6481481481481481,0.6831775700934579,0.3465346534653465,0.6654323984541378,0.5062545482307673,0.7194992500288451,0.33192458859589935,731.0,339.0,57.0,105.0
refine,0.11885022274370184,0.567,0.3777224924857171,0.6785714285714286,0.23648648648648649,0.6481481481481481,0.6831775700934579,0.3465346534653465,0.6654323984541378,0.5070297311453991,0.7188531210338063,0.33074677059713176,731.0,339.0,57.0,105.0
refine,0.11885022274370184,0.583,0.3779475648886476,0.6785714285714286,0.23648648648648649,0.6481481481481481,0.6831775700934579,0.3465346534653465,0.6654323984541378,0.5070370628635527,0.7186800507672783,0.331124786792721,731.0,339.0,57.0,105.0
refine,0.11885022274370184,0.6,0.37811599584234,0.6785714285714286,0.23648648648648649,0.6481481481481481,0.6831775700934579,0.3465346534653465,0.6654323984541378,0.5070545099370254,0.7185127495096342,0.3323355400705988,731.0,339.0,57.0,105.0
refine,0.11885022274370184,0.65,0.3778505836261718,0.6785714285714286,0.23648648648648649,0.6481481481481481,0.6831775700934579,0.3465346534653465,0.6654323984541378,0.5071753236144516,0.7181319949232723,0.3344723628102118,731.0,339.0,57.0,105.0
refine,0.11885022274370184,0.7,0.3777802784284651,0.6785714285714286,0.23648648648648649,0.6481481481481481,0.6831775700934579,0.3465346534653465,0.6654323984541378,0.5074323425908792,0.7170531902619129,0.33608646889033156,731.0,339.0,57.0,105.0
refine,0.11885022274370184,0.717,0.3767842080430751,0.6785714285714286,0.23648648648648649,0.6481481481481481,0.6831775700934579,0.3465346534653465,0.6654323984541378,0.5075604381256148,0.7163262951424946,0.33590402933583624,731.0,339.0,57.0,105.0
refine,0.15547718420411735,0.733,0.3761702890032989,0.6785714285714286,0.23648648648648649,0.6481481481481481,0.6831775700934579,0.3465346534653465,0.6654323984541378,0.5077130291494772,0.7172320295373256,0.3345754703665952,731.0,339.0,57.0,105.0
refine,0.13593563908785256,0.75,0.37508700471783046,0.6785714285714286,0.23648648648648649,0.6481481481481481,0.6831775700934579,0.3465346534653465,0.6654323984541378,0.5077514685842396,0.7163436021691474,0.33569517891280626,731.0,339.0,57.0,105.0
refine,0.2033917501372292,0.767,0.3734112167195569,0.6785714285714286,0.23648648648648649,0.6481481481481481,0.6831775700934579,0.3465346534653465,0.6654323984541378,0.5086018212912369,0.7170416522441445,0.33574295054933806,731.0,339.0,57.0,105.0
refine,0.2033917501372292,0.783,0.37317411477174145,0.6785714285714286,0.23648648648648649,0.6481481481481481,0.6831775700934579,0.3465346534653465,0.6654323984541378,0.5089668593428425,0.7169205030575747,0.33617789885612637,731.0,339.0,57.0,105.0
refine,0.10391223038351693,0.883,0.3758410631663564,0.6785714285714286,0.23648648648648649,0.6481481481481481,0.6831775700934579,0.3465346534653465,0.6654323984541378,0.5105441609780031,0.7077016268605054,0.3360579004964197,731.0,339.0,57.0,105.0
refine,0.10391223038351693,0.783,0.38,0.6883116883116883,0.24065420560747663,0.6358024691358025,0.6962616822429907,0.34915254237288135,0.665345697164069,0.5087198136357729,0.7120283835237108,0.3345816587758782,745.0,325.0,59.0,103.0
refine,0.11885022274370184,0.9,0.38,0.6883116883116883,0.24065420560747663,0.6358024691358025,0.6962616822429907,0.34915254237288135,0.665345697164069,0.5110189256844462,0.7093861774547133,0.3380003621764419,745.0,325.0,59.0,103.0
refine,0.11885022274370184,0.517,0.4,0.7207792207792207,0.2579787234042553,0.5987654320987654,0.7392523364485981,0.36059479553903345,0.6653110134844205,0.5070543023511145,0.719435790931118,0.32979896774308237,791.0,279.0,65.0,97.0
refine,0.2326305067153626,0.683,0.39188001160000235,0.7094155844155844,0.2512690355329949,0.6111111111111112,0.7242990654205608,0.35611510791366907,0.665302342281987,0.5072573792514631,0.7180973808699666,0.3356356800218692,775.0,295.0,63.0,99.0
coarse,0.05623413251903491,0.3,0.3914265918209979,0.7094155844155844,0.2512690355329949,0.6111111111111112,0.7242990654205608,0.35611510791366907,0.665302342281987,0.5156284205919588,0.7192107995846314,0.32389076920948734,775.0,295.0,63.0,99.0
coarse,0.05623413251903491,0.2,0.39203265403796067,0.7094155844155844,0.2512690355329949,0.6111111111111112,0.7242990654205608,0.35611510791366907,0.665302342281987,0.5158048448197777,0.7218241606092074,0.3221878577431779,775.0,295.0,63.0,99.0
refine,0.2033917501372292,0.667,0.36826360798372326,0.663961038961039,0.23076923076923078,0.6666666666666666,0.6635514018691588,0.34285714285714286,0.6651072103398864,0.5069146703021645,0.7184608284296757,0.3356989442457582,710.0,360.0,54.0,108.0
refine,0.2033917501372292,0.683,0.3670517449012772,0.663961038961039,0.23076923076923078,0.6666666666666666,0.6635514018691588,0.34285714285714286,0.6651072103398864,0.5071286257642006,0.7184262143763701,0.33499380914000576,710.0,360.0,54.0,108.0
refine,0.2033917501372292,0.7,0.36743770459148195,0.663961038961039,0.23076923076923078,0.6666666666666666,0.6635514018691588,0.34285714285714286,0.6651072103398864,0.5073765995434151,0.7182069920387677,0.3350134353519967,710.0,360.0,54.0,108.0
