Date,GARCH_mu_t1,GARCH_sigma_t1,GARCH_VaR_5_t1,GJR_mu_t1,GJR_sigma_t1,GJR_VaR_5_t1,return(%),Risk_Label
2009-04-17,-0.07761228114568836,1.8473655486872265,-3.088506174926796,-0.11429663133635508,1.6089323426858244,-2.7364044718095775,-0.23319190846483007,Low Risk
2009-04-20,-0.07443121905294046,1.9070775213765503,-3.181874622425835,-0.11000693020315395,1.5533684685182276,-2.6409481286477967,0.5645629213590287,Low Risk
2009-04-21,-0.07382074765835388,1.7969472790444394,-3.0005969341043217,-0.10917006657692557,1.5005101292049838,-2.5530868255562242,-0.19752305744975102,Low Risk
2009-04-22,-0.06779426691230278,1.6563447081243563,-2.766021123381961,-0.10161967583267521,1.4532774645244129,-2.4692801233300576,1.4089545806384702,Low Risk
2009-04-23,-0.06276270321339743,1.791524824942474,-2.981232079776966,-0.09491633577826032,1.4064168042197396,-2.3863288312253124,0.9927653434507265,Low Risk
2009-04-24,-0.065788994922782,1.623149734209235,-2.7098180601616026,-0.10114526738185485,1.4257186084139302,-2.4243899204134607,-1.1476955179681718,Low Risk
2009-04-27,-0.0700234671090969,1.6115485329981083,-2.6952537412149526,-0.10728894079702292,1.44320322592614,-2.4593637406031466,-1.1552141082062761,Low Risk
2009-04-28,-0.08033567216569056,1.630424405300889,-2.7378972893905096,-0.12103399073013173,1.7876712876693708,-3.036187782955335,-2.8820094316060816,High Risk
2009-04-29,-0.07108148821431974,2.0007589863594175,-3.33435684176552,-0.11190126454003747,1.7324596420574612,-2.9387006831137517,2.8529556265834217,Low Risk
2009-04-30,-0.06413005784651425,2.03479515213112,-3.3846171103266545,-0.1038253532226488,1.675021479659222,-2.8382292920823358,2.2524499437959635,Low Risk
2009-05-04,-0.05871076667206876,1.9609831967792508,-3.2599645990045802,-0.09587717315904068,1.6194771151079457,-2.7407332640122175,2.0749162486977863,Low Risk
2009-05-06,-0.05875700444709504,2.0594276621171197,-3.4195747725013286,-0.09721824928693838,1.5702119413398192,-2.6609831165995814,-0.48534032593479753,Low Risk
2009-05-07,-0.05551359988271195,1.7830231203432838,-2.964235338692625,-0.09382224219566535,1.5162528006227298,-2.5689340398393843,0.5131638526167968,Low Risk
2009-05-08,-0.05157191813747903,1.7925889704493976,-2.9752980275811676,-0.08925675518331296,1.4655279643118801,-2.4812497635199473,0.720657144833822,Low Risk
2009-05-11,-0.049207878500003834,1.7596084275889459,-2.9180868695316606,-0.08703863241269465,1.416349262039536,-2.398089984117828,0.17109351446227644,Low Risk
2009-05-12,-0.051212552267552405,1.5959636562965072,-2.6528175549565343,-0.0914201701281661,1.4087326363123474,-2.3899925760631158,-0.8973198392519234,Low Risk
2009-05-13,-0.046490397056578904,1.6341111755883495,-2.709999840966546,-0.08614107469444875,1.363499048701763,-2.310770355873016,0.7814508584909159,Low Risk
2009-05-15,-0.054335815607451744,1.5648559831480413,-2.6061394936356086,-0.09705523020312155,1.5052109488255914,-2.554263805603163,-1.8610869333504365,High Risk
2009-05-18,-0.05360976119933062,1.6838590480418323,-2.798576949603861,-0.09803674826243033,1.4558273677238225,-2.4740146251821926,-0.3041789922848996,Low Risk
2009-05-19,-0.04149838754650799,1.449254731198269,-2.4054546624918545,-0.08459783865408158,1.4258079486046689,-2.4116329987765495,3.055623631741458,Low Risk
2009-05-20,-0.03753323053318026,2.078115206709231,-3.4267462685445476,-0.08073893630975383,1.380125126422579,-2.332843060198915,0.567443988691245,Low Risk
