Date,Actual_Return (%),GARCH_Vol,GJR_GARCH_Vol,VaR_95,Risk_Label
2009-04-20,0.5645629213590287,1.4749621818455108,1.4691900475299886,-2.7499495867604438,lowrisk
2009-04-21,-0.19752305744975102,1.4236645524936689,1.416095880146625,-2.6492172029289556,lowrisk
2009-04-22,1.4089545806384702,1.369915895083144,1.3573698443167315,-2.537799812400817,lowrisk
2009-04-23,0.9927653434507265,1.3667428278344342,1.3002832274633138,-2.4294927933077664,lowrisk
2009-04-24,-1.1476955179681718,1.3382685964297476,1.2940111266460392,-2.4175931120792504,lowrisk
2009-04-27,-1.1552141082062761,1.3270406292836157,1.3044593508572506,-2.4374159021044117,lowrisk
2009-04-28,-2.8820094316060816,1.3172022285311227,1.315515946552322,-2.4583929189089826,highrisk
2009-04-29,2.8529556265834217,1.4928755337312094,1.6478419464895109,-3.088895134738916,lowrisk
2009-04-30,2.2524499437959635,1.6196856243866544,1.493314749449383,-2.795719938822244,lowrisk
2009-05-04,2.0749162486977863,1.6633315002816862,1.6518859580486172,-3.096567595663852,lowrisk
2009-05-06,-0.48534032593479753,1.6862120139786325,1.5230643602585523,-2.852162093630488,lowrisk
2009-05-07,0.5131638526167968,1.6243814749861962,1.5963592335087076,-2.991220066831295,lowrisk
2009-05-08,0.720657144833822,1.563988465796248,1.4295561764895586,-2.6747546170089587,lowrisk
2009-05-11,0.1710935144622986,1.5123369779396894,1.4453726337814914,-2.704762234141016,lowrisk
2009-05-12,-0.8973198392519458,1.4528770450752533,1.3378227016589215,-2.5007141893643334,lowrisk
2009-05-13,0.7814508584909159,1.4192156609187594,1.3601541572525644,-2.5430823225743766,lowrisk
2009-05-15,-1.8610869333504365,1.3780245782181784,1.2675696352770607,-2.367427254153178,highrisk
2009-05-18,-0.3041789922848996,1.4213862760182752,1.4370285943838963,-2.6889315879377387,lowrisk
2009-05-19,3.055623631741458,1.369466693577166,1.312604811831631,-2.4528697973586913,lowrisk
2009-05-20,0.5674439886912672,1.5446326221594675,1.3075796813497236,-2.4433359182632373,lowrisk
2009-05-21,-1.083099954876269,1.4896731060067245,1.4378336961242024,-2.690459059250027,lowrisk
2009-05-22,-1.5575587460764995,1.4632393035089464,1.3150407380793592,-2.4574913343346765,highrisk
