KODEX 200,TOPIX,Gold Spot,JPY/KRW,NASDAQ,KOSDAQ,KOSPI 200 Close,KOSPI 200 Open,KOSPI 200_MA5,KOSPI 200_RSI14,KOSPI 200_BB_UPPER15,Actual_Return(%),Signal2_Sell
17370.0,875.0,867.4000244140625,13.371000289916992,1673.0699462890625,483.7999877929688,171.3300018310547,174.02999877929688,171.5980010986328,63.873745637451954,177.30512729288537,-0.23319190846483,0
17480.0,876.0,887.0,13.53600025177002,1608.2099609375,491.9400024414063,172.3000030517578,172.5500030517578,171.72000122070312,76.43964415220034,178.08143397883566,0.5645629213590287,0
17480.0,855.0,882.0999755859375,13.72700023651123,1643.8499755859375,497.1900024414063,171.9600067138672,168.5800018310547,171.70600280761718,74.95829941074035,177.57993576215614,-0.197523057449751,0
17715.0,856.0,891.7999877929688,13.72599983215332,1646.1199951171875,509.8999938964844,174.39999389648438,173.27999877929688,172.34400024414063,74.08432628970968,176.98882552108955,1.4089545806384702,0
17895.0,862.0,905.9000244140624,13.618000030517578,1652.2099609375,514.0900268554688,176.13999938964844,175.8800048828125,173.2260009765625,69.95195555384383,177.0877743955259,0.9927653434507264,0
17690.0,858.0,913.5999755859376,13.774999618530272,1694.2900390625,507.5,174.1300048828125,176.30999755859375,173.78600158691407,63.479290148867165,177.4621027227002,-1.1476955179681718,0
17495.0,855.0,907.4000244140624,13.98900032043457,1679.4100341796875,505.9700012207031,172.1300048828125,174.30999755859375,173.752001953125,56.615178976089744,177.47895898614544,-1.155214108206276,0
17025.0,839.0,892.7999877929688,13.927000045776367,1673.81005859375,479.3699951171875,167.24000549316406,172.69000244140625,172.80800170898436,48.23379585052644,177.58728605461573,-2.8820094316060816,0
17325.0,839.0,899.7999877929688,13.751999855041504,1711.93994140625,494.4700012207031,172.0800018310547,168.52999877929688,172.34400329589843,65.50135401794319,177.6634743914968,2.8529556265834217,0
17700.0,866.0,890.7000122070312,12.949000358581545,1717.300048828125,500.9800109863281,176.0,174.0399932861328,172.31600341796874,61.88049301981589,176.81781044682737,2.2524499437959635,0
18020.0,866.0,901.5999755859376,12.770000457763672,1763.56005859375,507.010009765625,179.69000244140625,178.22999572753906,173.4280029296875,63.83128141326589,178.62966093913886,2.0749162486977863,0
17985.0,866.0,910.5,12.92099952697754,1759.0999755859375,510.0199890136719,178.82000732421875,179.75999450683594,174.76600341796876,61.52804720336243,179.80618933052668,-0.4853403259347975,0
18060.0,910.0,915.0,12.699999809265137,1716.239990234375,513.9500122070312,179.74000549316406,181.5200042724609,177.26600341796876,64.43318293119955,181.04265391769565,0.5131638526167968,0
18200.0,918.0,914.4000244140624,12.47700023651123,1739.0,517.8300170898438,181.0399932861328,179.5800018310547,179.05800170898436,65.34785863488729,182.4015293648246,0.720657144833822,0
18220.0,926.0,913.0,12.670000076293944,1731.239990234375,523.9099731445312,181.3500061035156,181.4199981689453,180.1280029296875,66.56748109175109,183.5986369981849,0.1710935144622764,0
18060.0,913.0,923.5,12.81999969482422,1715.9200439453125,526.1799926757812,179.72999572753906,180.2400054931641,180.13600158691406,62.02654013078406,184.1662736289072,-0.8973198392519234,0
18200.0,915.0,925.5,13.017999649047852,1664.18994140625,535.9500122070312,181.13999938964844,180.4600067138672,180.6,64.36169450903068,184.9468544938537,0.7814508584909159,0
17870.0,906.0,930.9000244140624,13.19200038909912,1680.1400146484375,543.5399780273438,177.8000030517578,178.08999633789062,180.2119995117188,55.17347701174779,185.0012859855039,-1.8610869333504363,0
17800.0,885.0,921.2999877929688,13.031000137329102,1732.3599853515625,545.010009765625,177.25999450683594,176.94000244140625,179.45599975585938,51.76878551427319,185.08942679038216,-0.3041789922848996,0
18350.0,906.0,926.2999877929688,12.92300033569336,1734.5400390625,553.77001953125,182.759994506836,181.3000030517578,179.73799743652344,62.27594221370032,186.0438059391931,3.055623631741458,0
18450.0,911.0,937.0,13.123000144958496,1727.8399658203125,562.5700073242188,183.8000030517578,182.75,180.5519989013672,67.0663821693176,187.07851903180784,0.567443988691245,0
18265.0,907.0,950.7999877929688,13.102999687194824,1695.25,559.1500244140625,181.82000732421875,183.0800018310547,180.6880004882813,73.30561906606306,187.2893622607438,-1.083099954876269,0
18020.0,900.0,958.5,13.123000144958496,1692.010009765625,554.0900268554688,179.00999450683594,179.69000244140625,180.92999877929688,61.84612896662895,185.3010869414701,-1.5575587460764997,0
17990.0,908.0,958.5,13.123000144958496,1692.010009765625,542.0800170898438,178.57000732421875,177.5800018310547,181.19200134277344,54.98642874737103,184.1254474182063,-0.2460917290761094,0
17560.0,909.0,953.0999755859376,13.303999900817873,1750.4300537109375,536.5399780273438,174.77000427246094,179.1199951171875,179.59400329589843,40.49460135265402,184.4007737635449,-2.150987400052436,1
17500.0,919.0,953.2000122070312,13.345000267028809,1731.0799560546875,524.3300170898438,173.75,177.6300048828125,177.58400268554686,40.261233926410846,184.9768109776529,-0.5853363779559736,0
17840.0,922.0,961.5,13.086000442504885,1751.7900390625,521.1099853515625,178.19000244140625,173.27999877929688,176.85800170898438,47.377324380832086,184.96384443091915,2.5232925995562487,0
17990.0,922.0,978.7999877929688,13.097000122070312,1774.3299560546875,528.7999877929688,178.6999969482422,178.16000366210938,176.79600219726564,45.93186185615799,184.90128487127765,0.2857994647370477,0
18195.0,938.0,978.5999755859376,12.940999984741213,1828.6800537109373,539.5599975585938,180.8999938964844,178.4199981689453,177.26199951171876,49.265886054523456,184.88004338441792,1.223595357369323,0
18150.0,942.0,983.2000122070312,12.878999710083008,1836.800048828125,538.6900024414062,180.47000122070312,183.63999938964844,178.4019989013672,51.25594929483796,184.74712163784207,-0.2379792924298435,0
18120.0,941.0,964.5,12.911999702453612,1825.9200439453125,541.25,180.3099975585937,181.77999877929688,179.71399841308593,48.52888756909315,184.8085095071619,-0.0886987489001491,0
17625.0,938.0,981.2000122070312,12.902999877929688,1850.02001953125,528.0,175.75,179.5500030517578,179.2259979248047,46.517155115426,184.6298098743645,-2.5615047557453385,1
17890.0,943.0,961.7000122070312,12.680999755859377,1849.4200439453125,529.1099853515625,177.77000427246094,177.42999267578125,179.03999938964844,50.82499143513558,184.6295191605227,1.1428073277463675,0
17860.0,951.0,951.7000122070312,12.64900016784668,1842.4000244140625,529.1099853515625,177.6699981689453,177.64999389648438,178.3940002441406,40.02353118510078,184.6265877357017,-0.0562717226354019,0
17565.0,944.0,954.0,12.902999877929688,1860.1300048828125,517.9600219726562,174.91000366210938,179.49000549316406,177.28200073242186,33.67609110445524,184.04474870556697,-1.5656309885805508,0
18190.0,962.0,954.0,12.80799961090088,1853.0799560546875,520.3599853515625,180.9100036621093,176.00999450683594,177.402001953125,48.54399414062496,183.22560568460952,3.372811341980484,0
18320.0,968.0,961.2999877929688,12.810999870300291,1862.3699951171875,520.5999755859375,181.42999267578125,180.4900054931641,178.53800048828126,54.17817706848703,183.1230215665154,0.2870173736795756,0
18330.0,978.0,940.0999755859376,12.71500015258789,1858.800048828125,524.260009765625,182.69000244140625,182.7400054931641,179.52200012207032,56.9173863097196,183.8806685241993,0.692087669945487,0
18150.0,973.0,926.9000244140624,12.848999977111816,1816.3800048828125,519.6300048828125,180.6600036621093,182.58999633789065,180.12000122070313,60.51410307883302,184.1389055807872,-1.1173908719710746,0
17985.0,941.0,931.5999755859376,13.098999977111816,1796.1800537109375,520.9299926757812,178.8800048828125,178.27000427246094,180.9140014648437,58.915548908229766,183.9940104271855,-0.9901614729107672,0
17900.0,949.0,935.4000244140624,13.17300033569336,1808.06005859375,517.3699951171875,177.8000030517578,177.89999389648438,180.29200134277343,49.232586446994446,183.4754242979757,-0.605587701951924,0
17660.0,938.0,934.0,13.147000312805176,1807.719970703125,513.219970703125,175.5399932861328,177.55999755859375,179.11400146484374,44.18261554486119,183.66420250447328,-1.2792441326761723,1
17780.0,942.0,935.5999755859376,13.14900016784668,1827.469970703125,510.2699890136719,176.6300048828125,176.9600067138672,177.902001953125,41.80424949654813,183.6777916060716,0.6190277894616071,0
18000.0,950.0,920.5999755859376,13.359000205993652,1766.18994140625,513.1300048828125,179.02000427246094,176.4600067138672,177.57400207519532,47.411646460547,183.41771866167355,1.3440378496972358,0
17540.0,926.0,923.9000244140624,13.47599983215332,1764.9200439453125,498.0299987792969,174.32000732421875,175.1699981689453,176.66200256347656,40.79879129832302,183.39934287653853,-2.660482265631882,0
17600.0,928.0,934.0999755859376,13.368000030517578,1792.3399658203125,495.0,175.0800018310547,174.9600067138672,176.11800231933594,48.834786411564615,183.17102437261792,0.4350290128779217,0
17955.0,946.0,939.0999755859376,13.39799976348877,1829.5400390625,504.0299987792969,178.86000061035156,175.5,176.7820037841797,51.78629300066417,183.25187153989103,2.136035754940603,0
18050.0,953.0,940.7000122070312,13.461999893188477,1838.219970703125,503.3399963378906,179.27999877929688,180.0399932861328,177.31200256347657,52.61109392593326,183.380338650582,0.234544235326244,0
18010.0,942.0,940.4000244140624,13.3100004196167,1844.06005859375,491.6400146484375,178.80999755859375,179.9199981689453,177.27000122070314,56.83250302876714,183.4535890011745,-0.2625046750274125,0
18030.0,956.0,927.0999755859376,13.211999893188477,1835.0400390625,485.1499938964844,178.99000549316406,180.6499938964844,178.2040008544922,45.7746549817023,183.3709701740388,0.1006193114712205,0
18310.0,956.0,941.0,13.0600004196167,1845.719970703125,491.1700134277344,181.9499969482422,178.52999877929688,179.5779998779297,51.03339404095004,183.6115036085671,1.6401938237470874,0
18290.0,951.0,930.7000122070312,13.336000442504885,1796.52001953125,496.0,181.8500061035156,182.9199981689453,180.17600097656248,48.25000762939448,183.7108477823584,-0.0549702289201112,0
18390.0,946.0,930.7000122070312,13.184000015258787,1796.52001953125,501.8200073242188,182.9199981689453,179.11000061035156,180.90400085449207,54.90450339713467,183.7796514325868,0.5866683783255479,0
18535.0,938.0,924.0,13.314000129699709,1787.4000244140625,505.4200134277344,184.5,182.77999877929688,182.04200134277343,62.302968516383125,184.7896689608824,0.8600574700866823,0
18620.0,918.0,928.7999877929688,13.479000091552734,1746.1700439453125,508.760009765625,185.1100006103516,185.17999267578125,183.26600036621093,66.3388447791329,186.0120834253171,0.330078278824904,0
18585.0,894.0,909.0,13.744999885559082,1747.1700439453125,505.6900024414063,184.72999572753903,183.8600006103516,183.8220001220703,72.42559009615476,186.9513154524644,-0.2054969826423403,0
18620.0,882.0,915.9000244140624,13.718999862670898,1752.550048828125,502.7999877929688,184.72000122070312,184.259994506836,184.3959991455078,70.8397927128764,187.5576574862408,-0.0054104787770547,0
18570.0,879.0,912.2000122070312,13.901000022888184,1756.030029296875,495.2699890136719,184.5599975585937,185.2700042724609,184.7239990234375,66.12340095585137,188.0477467997407,-0.0866571017391379,0
18000.0,860.0,922.2000122070312,14.048999786376951,1793.2099609375,476.0499877929688,178.14999389648438,184.22999572753903,183.4539978027344,60.13761193692268,188.07247479427625,-3.534874284594356,0
18075.0,876.0,922.5,13.857000350952148,1799.72998046875,476.25,179.42999267578125,181.1300048828125,182.3179962158203,61.20554725314111,187.4928111616184,0.7159261113906825,1
